Identifiant Museofile;Region administrative;Commune;Nom officiel du musee;Adresse;URL;Latitude;Longitude
M0876;Provence-Alpes-Cote-d'Azur;Grasse;musee Fragonard;23 boulevard Fragonard;www.museesdegrasse.com/vmjhf/presentation;43,656739;6,921091
M0878;Provence-Alpes-Cote-d'Azur;Menton;musee des beaux-arts;3 avenue de la Madone;www.menton.fr/Musee-des-Beaux-Arts-Palais-de-Carnoles.html?oaq;43,766659;7,4884
M0884;Provence-Alpes-Cote-d'Azur;Nice;musee Matisse;164 avenue des Arenes de Cimiez;www.musee-matisse-nice.org/fr/;43,720041;7,276769
M0868;Provence-Alpes-Cote-d'Azur;Antibes;musee d'archeologie;Avenue Maiziere;www.antibes-juanlespins.com/culture/musee-d-archeologie;43,576824;7,124074
M0877;Provence-Alpes-Cote-d'Azur;Grasse;musee international de la parfumerie;2 boulevard du Jeu de Ballon;www.museesdegrasse.com/presentation-du-musee-0;43,658385;6,922
M0882;Provence-Alpes-Cote-d'Azur;Nice;musee du vieux logis;59 avenue Saint Barthelemy;www.nice.fr/fr/culture/musees-et-galeries/prieure-du-vieux-logis;43,740194;7,238038
M0887;Provence-Alpes-Cote-d'Azur;Nice;musee du palais Lascaris;15 rue Droite;www.nice.fr/fr/culture/musees-et-galeries/palais-lascaris-le-palais;43,697686;7,27733
M0892;Provence-Alpes-Cote-d'Azur;Vallauris;musee Magnelli - musee de la ceramique;Place de la Liberation;www.vallauris-golfe-juan.fr/-Le-musee-Magnelli-musee-de-la-.html;43,579971;7,052887
M0869;Provence-Alpes-Cote-d'Azur;Biot;musee d'histoire locale;9 rue Saint-Sebastien;www.biot.fr/culture/musees-et-art/les-musees/musee-dhistoire-de-ceramique-biotoises/;43,627369;7,098469
M0872;Provence-Alpes-Cote-d'Azur;Cannes;musee de la Castre;Le Suquet;www.cannes.com/fr/culture/musees-et-expositions/musee-des-explorations-du-monde.html;43,551515;7,010034
M0874;Provence-Alpes-Cote-d'Azur;Menton;musee de prehistoire regionale;20, rue Loredan-Larchey;www.menton.fr/Musee-de-Prehistoire-Regionale.html?oaq%5Bwhat%5D=Mus%C3%A9e%20de%20Pr%C3%A9histoire;43,776334;7,503564
M0880;Provence-Alpes-Cote-d'Azur;Nice;musee des beaux-arts Jules Cheret;33 avenue des Baumettes;www.nice.fr/fr/culture/musees-et-galeries/musee-des-beaux-arts;43,69467563;7,249470499
M0886;Provence-Alpes-Cote-d'Azur;Nice;musee d'art naïf Anatole Jakovsky;23 avenue de Fabron;www.nice.fr/fr/culture/musees-et-galeries/musee-d-art-naif;43,68784;7,231462
M0888;Provence-Alpes-Cote-d'Azur;Nice;musee d'art moderne et d'art contemporain;Place Yves Klein;www.mamac-nice.org/fr/;43,70177465;7,278984299
M0891;Provence-Alpes-Cote-d'Azur;Tende;musee des merveilles;Avenue du 16 septembre 1947;museedesmerveilles.departement06.fr/musee-des-merveilles-13336.html;44,088854;7,593216
M5027;Provence-Alpes-Cote-d'Azur;Nice;musee national du sport;Boulevard des jardiniers - Stade Allianz Riviera;www.museedusport.fr/;43,703829;7,191059
M5029;Provence-Alpes-Cote-d'Azur;Nice;musee national Message biblique Marc Chagall;Avenue du Docteur-Menard;musees-nationaux-alpesmaritimes.fr/chagall/;43,70922;7,2688
M0870;Provence-Alpes-Cote-d'Azur;Cagnes-sur-Mer;musee-chateau;Place Grimaldi, Haut-de-Cagnes;www.cagnes-sur-mer.fr/culture/chateau-musee-grimaldi/;43,666892;7,145213
M0871;Provence-Alpes-Cote-d'Azur;Cagnes-sur-Mer;musee Renoir;Domaine des Collettes - 19 chemin des Collettes;/www.cagnes-sur-mer.fr/culture/musee-renoir/;43,667649;7,156541
M0890;Provence-Alpes-Cote-d'Azur;Puget-Rostang;ecomusee de la Roudoule;Place des Tilleuls;www.roudoule.com/;43,97425297;6,91984112
M1135;Provence-Alpes-Cote-d'Azur;Le Cannet;musee Bonnard;16 boulevard Sadi Carnot;www.museebonnard.fr/;43,576273;7,019853
M0902;Provence-Alpes-Cote-d'Azur;Arles;museon Arlaten;29 rue de la Republique;www.departement13.fr/nos-actions/culture/les-lieux-daccueil/decouvrez-le-nouveau-museon-arlaten/;43,54073;4,676089
M0904;Provence-Alpes-Cote-d'Azur;Cassis;musee municipal d'arts et traditions populaires;rue Xavier d'Authier;www.cassis.fr/culture-festivites/le-musee/;43,214464;5,540037
M0914;Provence-Alpes-Cote-d'Azur;Marseille;musee des arts decoratifs, de la faïence et de la mode;143 avenue Clot-Bey;musees.marseille.fr/chateau-borely-musee-des-arts-decoratifs-de-la-faience-et-de-la-mode;43,258599;5,384175
M0916;Provence-Alpes-Cote-d'Azur;Marseille;musee des docks romains;28 Place Vivaux;musees.marseille.fr/musee-des-docks-romains-0;43,29647;5,367908
M0919;Provence-Alpes-Cote-d'Azur;Marseille;musee d'archeologie mediterraneenne;2 rue de La Charite;musees.marseille.fr/musee-darcheologie-mediterraneenne-mam;43,300172;5,367602
